name,category,description,n_params,val_loss,delta_baseline,bpc,ppl,lexical_diversity,bigram_repeat_rate,alphabetic_ratio,avg_word_length,wallclock_seconds,peak_memory_mb,diverged,diverge_step,error
baseline,baseline,as written,1224832,0.7834416031837463,0.0000,1.13026731573929,2.188992961594887,0.6439024390243903,0.05392156862745101,0.8097560975609757,3.8536585365853657,75.85,944.3,False,,
lr_1e-4,optim,lr=1e-4 (expected: barely moves),1224832,1.311781883239746,0.5283,1.892501217677967,3.712783568278529,0.9855072463768116,0.0,0.37681159420289856,13.376811594202898,67.86,944.3,False,,
lr_1e-3,optim,lr=1e-3 (expected: slower than 3e-3 but stable),1224832,0.8452538251876831,0.0618,1.2194435018906973,2.3285687889748616,0.5902439024390244,0.05392156862745101,0.8878048780487805,3.84390243902439,68.02,944.3,False,,
lr_1e-2,optim,lr=1e-2 (expected: NaN / oscillation),1224832,0.7197270393371582,-0.0637,1.038346630445414,2.053872507721348,0.635,0.045226130653266305,0.85,3.975,68.18,944.3,False,,
no_warmup,optim,warmup_iters=0,1224832,0.8532423377037048,0.0698,1.2309684892816413,2.3472450884952685,0.6649214659685864,0.04210526315789476,0.8586387434554974,4.193717277486911,68.2,944.3,False,,
sgd_momentum,optim,SGD lr=0.5 momentum=0.9 (expected: much worse),1224832,0.8975195288658142,0.1141,1.294846973395709,2.4535096970313592,0.6176470588235294,0.054187192118226646,0.8529411764705882,3.857843137254902,67.74,939.6,False,,
wd_zero,optim,weight_decay=0 (expected: train<val gap),1224832,0.7636480927467346,-0.0198,1.1017113163900292,2.14609109649648,0.5728643216080402,0.09595959595959591,0.8743718592964824,4.005025125628141,68.65,944.3,False,,
no_grad_clip,optim,grad_clip=0,1224832,0.7707945108413696,-0.0126,1.1120214183352783,2.161482893342439,0.6,0.10050251256281406,0.855,3.965,69.84,944.3,False,,
decoupled_wd,optim,no WD on 1D params and embeddings,1224832,0.753358006477356,-0.0301,1.086865859958877,2.124120865618219,0.6097560975609756,0.06862745098039214,0.7853658536585366,3.848780487804878,68.66,944.3,False,,
n_layer_1,arch-size,n_layer=1,240512,1.0432003736495972,0.2598,1.5050200057177876,2.8382860703765127,0.6029411764705882,0.059113300492610876,0.8921568627450981,3.8823529411764706,29.21,577.0,False,,
n_layer_4,arch-size,n_layer=4,831104,0.8121179938316345,0.0287,1.1716386023175929,2.2526740874306466,0.7417582417582418,0.016574585635359074,0.8021978021978022,4.450549450549451,54.16,794.3,False,,
n_embd_32,arch-size,n_embd=32,85024,1.2289937734603882,0.4456,1.7730632222547162,3.417788735734888,0.6363636363636364,0.02030456852791873,0.8737373737373737,3.984848484848485,50.1,616.7,False,,
wide_shallow,arch-size,"n_embd=96, n_layer=1 (iso-param vs deep_narrow)",143520,1.1345268487930298,0.3511,1.636776258509087,3.109701835585711,0.6435643564356436,0.05472636815920395,0.8663366336633663,3.9207920792079207,30.0,550.4,False,,
deep_narrow,arch-size,"n_embd=48, n_layer=4 (iso-param vs wide_shallow)",127344,1.1338751316070557,0.3504,1.63583602935682,3.1076758497128196,0.635,0.035175879396984966,0.865,3.89,59.82,615.2,False,,
rmsnorm,arch,LayerNorm -> RMSNorm,1224832,0.774411141872406,-0.0090,1.1172391139884796,2.169314332624438,0.6268656716417911,0.050000000000000044,0.8606965174129353,3.945273631840796,109.57,1069.5,False,,
post_norm,arch,post-norm residual,1224832,3.0581634044647217,2.2747,4.411997177849363,21.288423013566128,0.8532608695652174,0.0,0.8641304347826086,3.989130434782609,77.59,953.6,False,,
swiglu,arch,SwiGLU MLP (~8/3 hidden),1230976,0.7172725796699524,-0.0662,1.0348055936554743,2.0488375420773215,0.5174129353233831,0.15000000000000002,0.8955223880597015,3.955223880597015,89.11,1043.6,False,,
relu2,arch,ReLU^2 activation,1224832,0.7366336584091187,-0.0468,1.0627377259387303,2.0888917421238786,0.5939086294416244,0.09183673469387754,0.883248730964467,4.035532994923858,132.32,1230.3,False,,
rope,arch,RoPE position encoding (replaces learned),1192064,0.7508634924888611,-0.0326,1.0832670369982473,2.118828819691167,0.6820512820512821,0.04123711340206182,0.8769230769230769,4.112820512820512,103.98,1025.0,False,,
nope,arch,no position encoding,1192064,0.8309966921806335,0.0476,1.1988748068041324,2.2956056125848705,0.6485148514851485,0.02985074626865669,0.8267326732673267,3.9257425742574257,82.67,953.0,False,,
untied,arch,untied input/output embeddings,1235584,0.7879312038421631,0.0045,1.1367444403447597,2.1988427601227167,0.6225490196078431,0.054187192118226646,0.8774509803921569,3.8872549019607843,80.8,953.6,False,,
qk_norm,arch,"RMSNorm on Q, K",1225216,0.7237071394920349,-0.0597,1.044088701201096,2.0620634155112962,0.5621890547263682,0.13,0.8557213930348259,3.955223880597015,131.18,1196.6,False,,
default_init,init,PyTorch default init (skip scaled init),1224832,0.8077285289764404,0.0243,1.165305943138848,2.2428077235639785,0.6067961165048543,0.07804878048780484,0.8495145631067961,3.8106796116504853,70.89,944.3,False,,
embd_std_0.1,init,embedding std=0.1 (expected: diverges at lr=3e-3),1224832,0.7347791790962219,-0.0487,1.0600622778305828,2.08502152532889,0.6146341463414634,0.039215686274509776,0.8634146341463415,3.8536585365853657,71.44,944.3,False,,
dropout_0.1,reg,dropout=0.1 in blocks and embedding,1224832,0.833516001701355,0.0501,1.2025094021561415,2.3013962447951832,0.5384615384615384,0.09661835748792269,0.8894230769230769,3.798076923076923,84.5,979.5,False,,
fp32,numerics,"no autocast, fp32 only",1224832,0.7648840546607971,-0.0186,1.103494432514175,2.148745223217759,0.6130653266331658,0.05555555555555558,0.8542713567839196,4.010050251256281,132.64,1294.8,False,,
compile_max_autotune,numerics,torch.compile(mode='max-autotune'),1224832,0.7731531262397766,-0.0103,1.1154241810739245,2.166587017144352,0.6080402010050251,0.0505050505050505,0.8140703517587939,3.9899497487437188,80.28,953.5,False,,
